Runs,best_params_,category,drop_text__accept_sparse,drop_text__func,drop_text__inv_kw_args,drop_text__inverse_func,drop_text__kw_args,drop_text__pass_y,drop_text__validate,encode__default,encode__df_out,encode__features_category,encode__input_df,encode__sparse,folds,forest__bootstrap,forest__class_weight,forest__criterion,forest__max_depth,forest__max_features,forest__max_leaf_nodes,forest__min_impurity_decrease,forest__min_impurity_split,forest__min_samples_leaf,forest__min_samples_split,forest__min_weight_fraction_leaf,forest__n_estimators,forest__n_jobs,forest__oob_score,forest__random_state,forest__verbose,forest__warm_start,param_grid,score_accuracy_test_mean,score_accuracy_test_std,score_accuracy_train_mean,score_accuracy_train_std,score_f1_weighted_test_mean,score_f1_weighted_test_std,score_f1_weighted_train_mean,score_f1_weighted_train_std,score_precision_weighted_test_mean,score_precision_weighted_test_std,score_precision_weighted_train_mean,score_precision_weighted_train_std,score_recall_weighted_test_mean,score_recall_weighted_test_std,score_recall_weighted_train_mean,score_recall_weighted_train_std,step_1_est,step_1_name,step_2_est,step_2_name,step_3_est,step_3_name,time_fit_mean,time_fit_std,time_score_mean,time_score_std,gradient__criterion,gradient__init,gradient__learning_rate,gradient__loss,gradient__max_depth,gradient__max_features,gradient__max_leaf_nodes,gradient__min_impurity_decrease,gradient__min_impurity_split,gradient__min_samples_leaf,gradient__min_samples_split,gradient__min_weight_fraction_leaf,gradient__n_estimators,gradient__presort,gradient__random_state,gradient__subsample,gradient__verbose,gradient__warm_start
0,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 150, 'forest__warm_start': True}",STRATEGY,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,1.0,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,150.0,1.0,0.0,None,0.0,1.0,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5325581395348837,0.08635481065013102,0.7064513214416476,0.008203826555808423,0.4927222882342378,0.09690757156297007,0.686612609551594,0.009588182702832902,0.5746204005400821,0.12280853760986545,0.7579053350546492,0.00802450733404227,0.5325581395348837,0.08635481065013102,0.7064513214416476,0.008203826555808423,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.20722026824951173,0.0022528099218804124,0.04500467777252197,0.000536997031461097,,,,,,,,,,,,,,,,,,
1,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 10}",STRATEGY,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5069767441860465,0.04632146873576378,0.8261117007295932,0.015687405940104066,0.4741264226469353,0.048863871238485145,0.8195581535596052,0.016656058748840002,0.5077965378161059,0.056783686525177714,0.8477633758496769,0.012358405531859512,0.5069767441860465,0.04632146873576378,0.8261117007295932,0.015687405940104066,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.05329151153564453,0.0010763280192112846,0.008322763442993162,0.00033893534891609627,friedman_mse,None,0.1,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
2,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 150, 'forest__warm_start': True}",ARCADE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4899866488651535,0.05780194940477161,0.6490150824631706,0.0077097477430035045,0.4437524357502794,0.06448963950712626,0.6100888309605554,0.008330719926174884,0.4457564111690389,0.08146251571784466,0.6633582183876706,0.04180239372314045,0.4899866488651535,0.05780194940477161,0.6490150824631706,0.0077097477430035045,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.3443077802658081,0.041251552393391885,0.041803288459777835,0.006460355962331128,,,,,,,,,,,,,,,,,,
3,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 10}",ARCADE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4699599465954606,0.0581963810829359,0.7602826017776294,0.012701951481085862,0.441052163173086,0.062487435735269124,0.7490891803370654,0.013842479044015884,0.4460346244656127,0.06559809261914992,0.7927418415729894,0.01093936415409152,0.4699599465954606,0.0581963810829359,0.7602826017776294,0.012701951481085862,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.090157413482666,0.0009539486681180056,0.008627486228942872,0.0002428695077095169,friedman_mse,None,0.1,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
4,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 75, 'forest__warm_start': True}",BUSINESS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.3868613138686132,0.0869395304900768,0.6695150710588795,0.011934761380493451,0.3826636558519037,0.09246294451304683,0.6689811159845749,0.011952010484648732,0.4060975955883698,0.0902568869914681,0.6789274656233273,0.01355634590385006,0.3868613138686132,0.0869395304900768,0.6695150710588795,0.011934761380493451,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.1446058750152588,0.0009587797834191553,0.026593303680419917,0.0005464141598809012,,,,,,,,,,,,,,,,,,
5,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 100}",BUSINESS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.3905109489051095,0.06168361140521871,0.5474343969052821,0.012216928748603112,0.3729935198558159,0.07015488414060407,0.5447025378985848,0.012448843704421205,0.4046607793738932,0.07651271782842431,0.5849825031448058,0.018609919339586004,0.3905109489051095,0.06168361140521871,0.5474343969052821,0.012216928748603112,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.28087606430053713,0.0012890284234090734,0.010204625129699708,0.0001651139824894646,friedman_mse,None,0.01,deviance,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
6,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 150, 'forest__warm_start': False}",WEATHER,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4980694980694981,0.08998662507388132,0.7769233625575512,0.022611204027827216,0.4838376683916365,0.08796516160973983,0.776218882677389,0.022843852184437703,0.5342243695184873,0.10022107257146187,0.8043358651122263,0.020038891218025923,0.4980694980694981,0.08998662507388132,0.7769233625575512,0.022611204027827216,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.19252779483795165,0.0007671601881151883,0.04274747371673584,0.0008741207345988338,,,,,,,,,,,,,,,,,,
7,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 75}",WEATHER,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4980694980694981,0.1181327974597517,1.0,0.0,0.4938635918512079,0.11467148255262767,1.0,0.0,0.5340835269406697,0.12556731601683813,1.0,0.0,0.4980694980694981,0.1181327974597517,1.0,0.0,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.16224446296691894,0.0020577677296850787,0.008517646789550781,0.00012952705419995406,friedman_mse,None,1.0,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
8,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 150, 'forest__warm_start': False}",PERSONALIZATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5837209302325581,0.026771545194408684,0.6421196735181744,0.005964926135797188,0.5420215287429473,0.03358076224721668,0.6090897099881747,0.006783921840776203,0.5656870072629211,0.043130881103040086,0.6350089601311131,0.006284762897154418,0.5837209302325581,0.026771545194408684,0.6421196735181744,0.005964926135797188,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.4915077924728394,0.06367380886403386,0.04319539070129395,0.00863513814113535,,,,,,,,,,,,,,,,,,
9,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 75}",PERSONALIZATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5930232558139535,0.04244706714071191,0.9231915549089228,0.003318007923930905,0.5739750677587482,0.04341138538587308,0.9225842924643912,0.0033211643989302323,0.5750835753701393,0.040435636786294936,0.9255227110904232,0.003366650593520196,0.5930232558139535,0.04244706714071191,0.9231915549089228,0.003318007923930905,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,1.0112547397613525,0.006077486237247056,0.013965511322021484,0.0001184475498630126,friedman_mse,None,0.1,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
10,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 10, 'forest__warm_start': True}",SIMULATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4724409448818898,0.039505531316761384,0.6990291616285169,0.01855552190195206,0.4512627096710464,0.04411979431718517,0.6939048044655963,0.01821626368749049,0.4748459547462498,0.07441517656786263,0.7066285282441169,0.0183326159717346,0.4724409448818898,0.039505531316761384,0.6990291616285169,0.01855552190195206,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.023430848121643068,0.0003195541648330504,0.010565829277038577,0.00024032060701482402,,,,,,,,,,,,,,,,,,
11,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 150}",SIMULATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.468503937007874,0.07752338411219364,1.0,0.0,0.4520516648009906,0.0799725431510419,1.0,0.0,0.4600526282183835,0.08979891692207882,1.0,0.0,0.468503937007874,0.07752338411219364,1.0,0.0,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.7517412424087524,0.00718922682563057,0.01301579475402832,0.0002984160847499741,friedman_mse,None,0.1,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
