Runs,best_params_,category,drop_text__accept_sparse,drop_text__func,drop_text__inv_kw_args,drop_text__inverse_func,drop_text__kw_args,drop_text__pass_y,drop_text__validate,encode__default,encode__df_out,encode__features_category,encode__input_df,encode__sparse,folds,forest__bootstrap,forest__class_weight,forest__criterion,forest__max_depth,forest__max_features,forest__max_leaf_nodes,forest__min_impurity_decrease,forest__min_impurity_split,forest__min_samples_leaf,forest__min_samples_split,forest__min_weight_fraction_leaf,forest__n_estimators,forest__n_jobs,forest__oob_score,forest__random_state,forest__verbose,forest__warm_start,param_grid,score_accuracy_test_mean,score_accuracy_test_std,score_accuracy_train_mean,score_accuracy_train_std,score_f1_weighted_test_mean,score_f1_weighted_test_std,score_f1_weighted_train_mean,score_f1_weighted_train_std,score_precision_weighted_test_mean,score_precision_weighted_test_std,score_precision_weighted_train_mean,score_precision_weighted_train_std,score_recall_weighted_test_mean,score_recall_weighted_test_std,score_recall_weighted_train_mean,score_recall_weighted_train_std,step_1_est,step_1_name,step_2_est,step_2_name,step_3_est,step_3_name,step_4_est,step_4_name,time_fit_mean,time_fit_std,time_score_mean,time_score_std,gradient__criterion,gradient__init,gradient__learning_rate,gradient__loss,gradient__max_depth,gradient__max_features,gradient__max_leaf_nodes,gradient__min_impurity_decrease,gradient__min_impurity_split,gradient__min_samples_leaf,gradient__min_samples_split,gradient__min_weight_fraction_leaf,gradient__n_estimators,gradient__presort,gradient__random_state,gradient__subsample,gradient__verbose,gradient__warm_start
0,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 50, 'forest__warm_start': False}",STRATEGY,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,1.0,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,50.0,1.0,0.0,None,0.0,0.0,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5,0.0529077658860391,1.0,0.0,0.4798504878019872,0.053004114430019705,1.0,0.0,0.5110482156695237,0.07720636616977952,1.0,0.0,0.5,0.0529077658860391,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,10.886091279983521,0.13612440158746394,1.8249898910522464,0.220640357882154,,,,,,,,,,,,,,,,,,
1,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 100}",STRATEGY,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4930232558139535,0.05401747076389205,0.998969724416266,0.0023573952703692985,0.4712578426742226,0.0529372028366817,0.9989618860309428,0.0023779118513259077,0.4905190214057489,0.06265204683952014,0.9989854409978406,0.0023163620378328594,0.4930232558139535,0.05401747076389205,0.998969724416266,0.0023573952703692985,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,11.084744858741761,0.13809545594780115,1.8142086505889887,0.22008097493868767,friedman_mse,None,0.01,deviance,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
2,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 75, 'forest__warm_start': False}",ARCADE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4299065420560748,0.04277447789149658,0.9979228427916172,0.0009835089245077817,0.40029214741222224,0.039964231145683086,0.9979220533577176,0.0009838302271794337,0.410659389427312,0.05180646445536136,0.9979359217467159,0.000976450424086192,0.4299065420560748,0.04277447789149658,0.9979228427916172,0.0009835089245077817,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,12.40426495075226,0.08007027713998123,2.212878441810608,0.11977296647276812,,,,,,,,,,,,,,,,,,
3,"{'gradient__learning_rate': 0.001, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 100}",ARCADE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4339118825100133,0.04733333443601121,0.9985165357124958,0.0006615640177085696,0.40732568580366096,0.04450581690237003,0.9985163769235312,0.0006615740926296401,0.4276592413684284,0.06848989192147485,0.998522984581062,0.0006567975576682777,0.4339118825100133,0.04733333443601121,0.9985165357124958,0.0006615640177085696,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,12.826854681968687,0.06918415202719473,2.2004382371902467,0.1224765267479705,friedman_mse,None,0.001,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
4,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': 'sqrt', 'forest__n_estimators': 5, 'forest__warm_start': False}",BUSINESS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.3594890510948905,0.06167436813222835,0.7654106942876546,0.10477989228793323,0.3493131342097821,0.05943518449054935,0.7605100840286179,0.10437343343696057,0.3815560435414648,0.08912511299689946,0.7775023280229901,0.10356109084524467,0.3594890510948905,0.06167436813222835,0.7654106942876546,0.10477989228793323,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,11.658686542510988,0.1328793144362328,2.040800833702088,0.1964594306381355,,,,,,,,,,,,,,,,,,
5,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 10}",BUSINESS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.34306569343065696,0.07438581932111024,0.9876225871238984,0.0103088951172378,0.3342606000093507,0.07357239738027631,0.9875332783120176,0.010663656197675135,0.3397283808723969,0.07536629530377326,0.9880491070033234,0.009779573979318765,0.34306569343065696,0.07438581932111024,0.9876225871238984,0.0103088951172378,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,11.689186644554136,0.13660787639425026,2.037659764289856,0.1949022706519418,friedman_mse,None,0.01,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
6,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 150, 'forest__warm_start': True}",WEATHER,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5173745173745173,0.07444387044551855,0.9927036885232484,0.0043246022279551715,0.5097986056401917,0.07070427165285559,0.9926320766307896,0.0043772074527787894,0.5765695231860645,0.09148408337585164,0.9929215746097328,0.00416139900688619,0.5173745173745173,0.07444387044551855,0.9927036885232484,0.0043246022279551715,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,5.255775904655456,0.12583568557091726,0.8966987609863282,0.1523433095502691,,,,,,,,,,,,,,,,,,
7,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 100}",WEATHER,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5135135135135135,0.06374558179697111,1.0,0.0,0.5101816968468893,0.06750287638838058,1.0,0.0,0.5526136026136025,0.08044344052433153,1.0,0.0,0.5135135135135135,0.06374558179697111,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,5.52772376537323,0.12769908833550525,0.8678050994873047,0.1536518469304426,friedman_mse,None,0.01,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
8,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 10, 'forest__warm_start': True}",PERSONALIZATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.6505813953488372,0.03619111267967315,0.9833972901672712,0.0007809635491232103,0.6327593426039437,0.03743058310459181,0.9834239034542048,0.0007792534390757994,0.6364501739300531,0.03650246009065597,0.9835275475048376,0.000775589848533125,0.6505813953488372,0.03619111267967315,0.9833972901672712,0.0007809635491232103,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,34.771926856040956,0.4680050763278184,5.445832705497741,0.4987728798209728,,,,,,,,,,,,,,,,,,
9,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 50}",PERSONALIZATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.6540697674418605,0.032215224233757236,0.9909554790072594,0.000919210862237305,0.6358650480197097,0.03239177306120223,0.9909642754571716,0.0009166542511470932,0.6388012188936155,0.034165514962778594,0.9909976398305944,0.0009057482457788732,0.6540697674418605,0.032215224233757236,0.9909554790072594,0.000919210862237305,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,35.24135658740997,0.5467567268380703,5.444933342933655,0.4931323885198313,friedman_mse,None,0.01,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,50.0,auto,None,1.0,0.0,False
